Item,x,y,z,R,e
H07,-3.95145,12.11867,0.04371,1.5372,0.05808
H08,4.08234,12.07325,0.0437,1.52025,0.03142
H09,36.12115,12.01528,0.0437,1.51751,0.03568
H11,4.11325,-20.0325,0.0437,1.53404,0.05648
H05,-35.94622,-19.98453,0.04369,1.50431,0.01953
H01,-36.08272,55.05038,0.09117,1.55194,0.06116
H02,-4.03868,55.09858,0.12192,1.54557,0.05641
H04,-36.04902,22.87219,0.03019,1.59387,0.15371
