Item,x,y,z,R,e
1,151.96729,75.19259,1.3142,1.49859,0.03297
H08,120.08542,74.90245,1.62309,1.51578,0.11695
H07,112.16834,74.99569,1.6231,1.57636,0.1123
H06,80.08987,74.91158,1.6231,1.56112,0.09686
J05,80.06511,43.02486,1.6044,1.55513,0.06384
H11,120.10188,43.01307,1.56363,1.54386,0.07922
